access_id,memory_address,operation,cache_result
1,42,READ,MISS
2,188,WRITE,MISS
3,190,READ,MISS
4,192,READ,MISS
5,196,WRITE,MISS
6,196,READ,HIT
7,163,READ,MISS
8,162,WRITE,MISS
9,23,WRITE,MISS
10,21,WRITE,MISS
11,127,WRITE,MISS
12,127,READ,HIT
13,204,READ,MISS
14,203,READ,MISS
15,204,WRITE,HIT
16,203,READ,HIT
17,204,WRITE,HIT
18,206,WRITE,MISS
19,205,WRITE,MISS
20,203,WRITE,HIT
21,205,READ,HIT
22,205,WRITE,HIT
23,205,READ,HIT
24,204,READ,HIT
25,131,READ,MISS
26,130,WRITE,MISS
27,132,WRITE,MISS
28,130,WRITE,HIT
29,130,WRITE,HIT
30,128,READ,MISS
31,129,WRITE,MISS
32,198,WRITE,MISS
33,196,WRITE,HIT
34,195,READ,MISS
35,193,READ,MISS
36,214,READ,MISS
37,216,READ,MISS
38,214,WRITE,HIT
39,214,READ,HIT
40,216,WRITE,HIT
41,33,READ,MISS
42,32,WRITE,MISS
43,30,READ,MISS
44,230,WRITE,MISS
45,228,WRITE,MISS
46,226,WRITE,MISS
47,225,WRITE,MISS
48,225,WRITE,HIT
49,224,READ,MISS
50,64,WRITE,MISS
51,62,READ,MISS
52,62,READ,HIT
53,63,READ,MISS
54,62,WRITE,HIT
55,118,WRITE,MISS
56,116,WRITE,MISS
57,179,READ,MISS
58,4,WRITE,MISS
59,6,READ,MISS
60,64,WRITE,HIT
61,62,READ,HIT
62,62,READ,HIT
63,170,WRITE,MISS
64,170,WRITE,HIT
65,170,READ,HIT
66,19,WRITE,MISS
67,18,WRITE,MISS
68,154,WRITE,MISS
69,152,WRITE,MISS
70,77,WRITE,MISS
71,76,READ,MISS
72,78,WRITE,MISS
73,27,WRITE,MISS
74,26,WRITE,MISS
75,26,READ,HIT
76,25,WRITE,MISS
77,26,READ,HIT
78,27,READ,HIT
79,26,WRITE,HIT
80,25,WRITE,HIT
81,23,READ,MISS
82,24,WRITE,MISS
83,23,WRITE,HIT
84,22,WRITE,MISS
85,20,READ,MISS
86,18,READ,HIT
87,16,READ,MISS
88,18,WRITE,HIT
89,18,READ,HIT
90,20,WRITE,HIT
91,204,WRITE,MISS
92,203,READ,MISS
93,54,WRITE,MISS
94,11,READ,MISS
95,12,WRITE,MISS
96,11,READ,HIT
97,10,WRITE,MISS
98,21,READ,MISS
99,21,READ,HIT
100,20,WRITE,HIT
101,255,WRITE,MISS
102,30,WRITE,MISS
103,31,READ,MISS
104,29,WRITE,MISS
105,27,READ,MISS
106,27,READ,HIT
107,237,WRITE,MISS
108,237,READ,HIT
109,239,READ,MISS
110,57,WRITE,MISS
111,32,READ,MISS
112,32,READ,HIT
113,32,READ,HIT
114,33,WRITE,MISS
115,35,READ,MISS
116,33,READ,HIT
117,163,WRITE,MISS
118,165,WRITE,MISS
119,111,WRITE,MISS
120,110,WRITE,MISS
121,111,WRITE,HIT
122,59,WRITE,MISS
123,59,WRITE,HIT
124,57,WRITE,HIT
125,98,WRITE,MISS
126,99,WRITE,MISS
127,100,READ,MISS
128,100,WRITE,HIT
129,102,WRITE,MISS
130,103,WRITE,MISS
131,101,WRITE,MISS
132,252,WRITE,MISS
133,254,READ,MISS
134,254,WRITE,HIT
135,254,READ,HIT
136,253,WRITE,MISS
137,252,READ,HIT
138,107,WRITE,MISS
139,105,WRITE,MISS
140,107,WRITE,HIT
141,218,WRITE,MISS
142,219,WRITE,MISS
143,109,READ,MISS
144,138,READ,MISS
145,140,WRITE,MISS
146,140,WRITE,HIT
147,139,WRITE,MISS
148,191,WRITE,MISS
149,192,WRITE,MISS
150,194,WRITE,MISS
151,194,WRITE,HIT
152,139,WRITE,HIT
153,137,WRITE,MISS
154,138,READ,HIT
155,137,READ,HIT
156,136,READ,MISS
157,138,READ,HIT
158,138,WRITE,HIT
159,139,READ,HIT
160,141,WRITE,MISS
161,139,READ,HIT
162,138,READ,HIT
163,136,READ,HIT
164,138,READ,HIT
165,140,READ,HIT
166,142,READ,MISS
167,140,READ,HIT
168,141,WRITE,HIT
169,8,WRITE,MISS
170,6,WRITE,MISS
171,8,READ,HIT
172,8,WRITE,HIT
173,7,WRITE,MISS
174,9,WRITE,MISS
175,7,WRITE,HIT
176,5,READ,MISS
177,122,READ,MISS
178,83,READ,MISS
179,158,READ,MISS
180,56,WRITE,MISS
181,57,WRITE,MISS
182,56,WRITE,HIT
183,54,WRITE,MISS
184,54,READ,HIT
185,55,WRITE,MISS
186,54,READ,HIT
187,55,READ,HIT
188,56,WRITE,HIT
189,54,WRITE,HIT
190,52,READ,MISS
191,53,READ,MISS
192,54,WRITE,HIT
193,54,READ,HIT
194,157,WRITE,MISS
195,155,READ,MISS
196,156,READ,MISS
197,154,READ,MISS
198,153,READ,MISS
199,153,READ,HIT
200,155,WRITE,HIT
201,157,WRITE,HIT
202,159,READ,MISS
203,158,WRITE,HIT
204,156,READ,HIT
205,154,WRITE,HIT
206,178,READ,MISS
207,179,WRITE,MISS
208,33,WRITE,MISS
209,35,WRITE,MISS
210,35,WRITE,HIT
211,34,READ,MISS
212,141,READ,MISS
213,143,WRITE,MISS
214,144,READ,MISS
215,56,READ,MISS
216,57,WRITE,MISS
217,55,WRITE,MISS
218,53,READ,MISS
219,54,READ,MISS
220,55,READ,HIT
221,56,READ,HIT
222,56,READ,HIT
223,55,WRITE,HIT
224,55,READ,HIT
225,89,WRITE,MISS
226,88,READ,MISS
227,87,READ,MISS
228,86,WRITE,MISS
229,86,WRITE,HIT
230,87,WRITE,HIT
231,87,WRITE,HIT
232,88,WRITE,HIT
233,89,READ,HIT
234,225,READ,MISS
235,226,READ,MISS
236,225,READ,HIT
237,226,READ,HIT
238,227,WRITE,MISS
239,227,WRITE,HIT
240,229,READ,MISS
241,249,READ,MISS
242,250,READ,MISS
243,35,WRITE,MISS
244,34,READ,MISS
245,34,WRITE,HIT
246,36,WRITE,MISS
247,37,WRITE,MISS
248,38,WRITE,MISS
249,36,WRITE,HIT
250,36,READ,HIT
251,34,WRITE,HIT
252,34,WRITE,HIT
253,33,WRITE,MISS
254,175,WRITE,MISS
255,177,WRITE,MISS
256,179,READ,MISS
257,179,READ,HIT
258,179,READ,HIT
259,24,READ,MISS
260,24,WRITE,HIT
261,25,WRITE,MISS
262,27,READ,MISS
263,25,READ,HIT
264,27,READ,HIT
265,35,READ,HIT
266,35,WRITE,HIT
267,76,WRITE,MISS
268,74,READ,MISS
269,73,WRITE,MISS
270,75,WRITE,MISS
271,75,WRITE,HIT
272,74,READ,HIT
273,76,READ,HIT
274,140,READ,MISS
275,142,READ,MISS
276,143,WRITE,MISS
277,143,WRITE,HIT
278,144,READ,MISS
279,7,READ,MISS
280,6,READ,MISS
281,4,WRITE,MISS
282,3,READ,MISS
283,3,WRITE,HIT
284,3,READ,HIT
285,1,WRITE,MISS
286,1,WRITE,HIT
287,194,READ,MISS
288,193,READ,MISS
289,192,READ,MISS
290,46,READ,MISS
291,44,READ,MISS
292,46,WRITE,HIT
293,44,READ,HIT
294,46,WRITE,HIT
295,45,WRITE,MISS
296,45,WRITE,HIT
297,46,WRITE,HIT
298,45,WRITE,HIT
299,46,READ,HIT
300,44,WRITE,HIT
301,45,READ,HIT
302,46,READ,HIT
303,148,WRITE,MISS
304,146,WRITE,MISS
305,146,READ,HIT
306,168,READ,MISS
307,166,WRITE,MISS
308,167,WRITE,MISS
309,18,WRITE,MISS
310,16,READ,MISS
311,17,WRITE,MISS
312,17,WRITE,HIT
313,18,READ,HIT
314,18,WRITE,HIT
315,249,READ,MISS
316,250,WRITE,MISS
317,205,WRITE,MISS
318,203,READ,MISS
319,202,WRITE,MISS
320,146,READ,HIT
321,145,READ,MISS
322,34,WRITE,MISS
323,36,WRITE,MISS
324,38,WRITE,MISS
325,244,WRITE,MISS
326,246,WRITE,MISS
327,247,READ,MISS
328,108,WRITE,MISS
329,174,READ,MISS
330,173,READ,MISS
331,26,WRITE,MISS
332,26,READ,HIT
333,24,WRITE,MISS
334,22,WRITE,MISS
335,23,WRITE,MISS
336,23,WRITE,HIT
337,24,READ,HIT
338,22,WRITE,HIT
339,24,WRITE,HIT
340,101,WRITE,MISS
341,102,WRITE,MISS
342,232,WRITE,MISS
343,201,READ,MISS
344,202,READ,MISS
345,202,READ,HIT
346,201,WRITE,HIT
347,200,READ,MISS
348,178,READ,MISS
349,176,WRITE,MISS
350,178,WRITE,HIT
351,180,WRITE,MISS
352,181,WRITE,MISS
353,181,WRITE,HIT
354,161,WRITE,MISS
355,29,READ,MISS
356,200,READ,HIT
357,198,READ,MISS
358,197,READ,MISS
359,132,READ,MISS
360,134,READ,MISS
361,134,WRITE,HIT
362,136,WRITE,MISS
363,138,READ,MISS
364,140,READ,MISS
365,139,READ,MISS
366,141,WRITE,MISS
367,143,WRITE,MISS
368,134,WRITE,HIT
369,134,WRITE,HIT
370,135,READ,MISS
371,137,READ,MISS
372,139,WRITE,HIT
373,141,WRITE,HIT
374,140,WRITE,HIT
375,142,WRITE,MISS
376,144,READ,MISS
377,146,WRITE,MISS
378,145,WRITE,MISS
379,3,WRITE,MISS
380,1,READ,MISS
381,2,READ,MISS
382,2,READ,HIT
383,0,READ,MISS
384,0,WRITE,HIT
385,1,READ,HIT
386,1,READ,HIT
387,3,READ,HIT
388,5,WRITE,MISS
389,6,READ,MISS
390,4,WRITE,MISS
391,6,READ,HIT
392,8,WRITE,MISS
393,10,READ,MISS
394,109,WRITE,MISS
395,110,READ,MISS
396,110,WRITE,HIT
397,109,READ,HIT
398,108,READ,MISS
399,118,WRITE,MISS
400,116,READ,MISS
401,118,READ,HIT
402,118,READ,HIT
403,102,READ,MISS
404,103,READ,MISS
405,101,WRITE,MISS
406,99,READ,MISS
407,97,READ,MISS
408,97,READ,HIT
409,99,WRITE,HIT
410,99,WRITE,HIT
411,100,WRITE,MISS
412,151,WRITE,MISS
413,123,WRITE,MISS
414,125,WRITE,MISS
415,123,WRITE,HIT
416,123,WRITE,HIT
417,121,READ,MISS
418,120,WRITE,MISS
419,122,READ,MISS
420,57,READ,MISS
421,59,WRITE,MISS
422,58,WRITE,MISS
423,139,WRITE,MISS
424,166,WRITE,MISS
425,165,READ,MISS
426,164,READ,MISS
427,172,WRITE,MISS
