access_id,memory_address,operation
1,42,READ
2,188,WRITE
3,190,READ
4,192,READ
5,196,WRITE
6,196,READ
7,163,READ
8,162,WRITE
9,23,WRITE
10,21,WRITE
11,127,WRITE
12,127,READ
13,204,READ
14,203,READ
15,204,WRITE
16,203,READ
17,204,WRITE
18,206,WRITE
19,205,WRITE
20,203,WRITE
21,205,READ
22,205,WRITE
23,205,READ
24,204,READ
25,131,READ
26,130,WRITE
27,132,WRITE
28,130,WRITE
29,130,WRITE
30,128,READ
31,129,WRITE
32,198,WRITE
33,196,WRITE
34,195,READ
35,193,READ
36,214,READ
37,216,READ
38,214,WRITE
39,214,READ
40,216,WRITE
41,33,READ
42,32,WRITE
43,30,READ
44,230,WRITE
45,228,WRITE
46,226,WRITE
47,225,WRITE
48,225,WRITE
49,224,READ
50,64,WRITE
51,62,READ
52,62,READ
53,63,READ
54,62,WRITE
55,118,WRITE
56,116,WRITE
57,179,READ
58,4,WRITE
59,6,READ
60,64,WRITE
61,62,READ
62,62,READ
63,170,WRITE
64,170,WRITE
65,170,READ
66,19,WRITE
67,18,WRITE
68,154,WRITE
69,152,WRITE
70,77,WRITE
71,76,READ
72,78,WRITE
73,27,WRITE
74,26,WRITE
75,26,READ
76,25,WRITE
77,26,READ
78,27,READ
79,26,WRITE
80,25,WRITE
81,23,READ
82,24,WRITE
83,23,WRITE
84,22,WRITE
85,20,READ
86,18,READ
87,16,READ
88,18,WRITE
89,18,READ
90,20,WRITE
91,204,WRITE
92,203,READ
93,54,WRITE
94,11,READ
95,12,WRITE
96,11,READ
97,10,WRITE
98,21,READ
99,21,READ
100,20,WRITE
101,255,WRITE
102,30,WRITE
103,31,READ
104,29,WRITE
105,27,READ
106,27,READ
107,237,WRITE
108,237,READ
109,239,READ
110,57,WRITE
111,32,READ
112,32,READ
113,32,READ
114,33,WRITE
115,35,READ
116,33,READ
117,163,WRITE
118,165,WRITE
119,111,WRITE
120,110,WRITE
121,111,WRITE
122,59,WRITE
123,59,WRITE
124,57,WRITE
125,98,WRITE
126,99,WRITE
127,100,READ
128,100,WRITE
129,102,WRITE
130,103,WRITE
131,101,WRITE
132,252,WRITE
133,254,READ
134,254,WRITE
135,254,READ
136,253,WRITE
137,252,READ
138,107,WRITE
139,105,WRITE
140,107,WRITE
141,218,WRITE
142,219,WRITE
143,109,READ
144,138,READ
145,140,WRITE
146,140,WRITE
147,139,WRITE
148,191,WRITE
149,192,WRITE
150,194,WRITE
151,194,WRITE
152,139,WRITE
153,137,WRITE
154,138,READ
155,137,READ
156,136,READ
157,138,READ
158,138,WRITE
159,139,READ
160,141,WRITE
161,139,READ
162,138,READ
163,136,READ
164,138,READ
165,140,READ
166,142,READ
167,140,READ
168,141,WRITE
169,8,WRITE
170,6,WRITE
171,8,READ
172,8,WRITE
173,7,WRITE
174,9,WRITE
175,7,WRITE
176,5,READ
177,122,READ
178,83,READ
179,158,READ
180,56,WRITE
181,57,WRITE
182,56,WRITE
183,54,WRITE
184,54,READ
185,55,WRITE
186,54,READ
187,55,READ
188,56,WRITE
189,54,WRITE
190,52,READ
191,53,READ
192,54,WRITE
193,54,READ
194,157,WRITE
195,155,READ
196,156,READ
197,154,READ
198,153,READ
199,153,READ
200,155,WRITE
201,157,WRITE
202,159,READ
203,158,WRITE
204,156,READ
205,154,WRITE
206,178,READ
207,179,WRITE
208,33,WRITE
209,35,WRITE
210,35,WRITE
211,34,READ
212,141,READ
213,143,WRITE
214,144,READ
215,56,READ
216,57,WRITE
217,55,WRITE
218,53,READ
219,54,READ
220,55,READ
221,56,READ
222,56,READ
223,55,WRITE
224,55,READ
225,89,WRITE
226,88,READ
227,87,READ
228,86,WRITE
229,86,WRITE
230,87,WRITE
231,87,WRITE
232,88,WRITE
233,89,READ
234,225,READ
235,226,READ
236,225,READ
237,226,READ
238,227,WRITE
239,227,WRITE
240,229,READ
241,249,READ
242,250,READ
243,35,WRITE
244,34,READ
245,34,WRITE
246,36,WRITE
247,37,WRITE
248,38,WRITE
249,36,WRITE
250,36,READ
251,34,WRITE
252,34,WRITE
253,33,WRITE
254,175,WRITE
255,177,WRITE
256,179,READ
257,179,READ
258,179,READ
259,24,READ
260,24,WRITE
261,25,WRITE
262,27,READ
263,25,READ
264,27,READ
265,35,READ
266,35,WRITE
267,76,WRITE
268,74,READ
269,73,WRITE
270,75,WRITE
271,75,WRITE
272,74,READ
273,76,READ
274,140,READ
275,142,READ
276,143,WRITE
277,143,WRITE
278,144,READ
279,7,READ
280,6,READ
281,4,WRITE
282,3,READ
283,3,WRITE
284,3,READ
285,1,WRITE
286,1,WRITE
287,194,READ
288,193,READ
289,192,READ
290,46,READ
291,44,READ
292,46,WRITE
293,44,READ
294,46,WRITE
295,45,WRITE
296,45,WRITE
297,46,WRITE
298,45,WRITE
299,46,READ
300,44,WRITE
301,45,READ
302,46,READ
303,148,WRITE
304,146,WRITE
305,146,READ
306,168,READ
307,166,WRITE
308,167,WRITE
309,18,WRITE
310,16,READ
311,17,WRITE
312,17,WRITE
313,18,READ
314,18,WRITE
315,249,READ
316,250,WRITE
317,205,WRITE
318,203,READ
319,202,WRITE
320,146,READ
321,145,READ
322,34,WRITE
323,36,WRITE
324,38,WRITE
325,244,WRITE
326,246,WRITE
327,247,READ
328,108,WRITE
329,174,READ
330,173,READ
331,26,WRITE
332,26,READ
333,24,WRITE
334,22,WRITE
335,23,WRITE
336,23,WRITE
337,24,READ
338,22,WRITE
339,24,WRITE
340,101,WRITE
341,102,WRITE
342,232,WRITE
343,201,READ
344,202,READ
345,202,READ
346,201,WRITE
347,200,READ
348,178,READ
349,176,WRITE
350,178,WRITE
351,180,WRITE
352,181,WRITE
353,181,WRITE
354,161,WRITE
355,29,READ
356,200,READ
357,198,READ
358,197,READ
359,132,READ
360,134,READ
361,134,WRITE
362,136,WRITE
363,138,READ
364,140,READ
365,139,READ
366,141,WRITE
367,143,WRITE
368,134,WRITE
369,134,WRITE
370,135,READ
371,137,READ
372,139,WRITE
373,141,WRITE
374,140,WRITE
375,142,WRITE
376,144,READ
377,146,WRITE
378,145,WRITE
379,3,WRITE
380,1,READ
381,2,READ
382,2,READ
383,0,READ
384,0,WRITE
385,1,READ
386,1,READ
387,3,READ
388,5,WRITE
389,6,READ
390,4,WRITE
391,6,READ
392,8,WRITE
393,10,READ
394,109,WRITE
395,110,READ
396,110,WRITE
397,109,READ
398,108,READ
399,118,WRITE
400,116,READ
401,118,READ
402,118,READ
403,102,READ
404,103,READ
405,101,WRITE
406,99,READ
407,97,READ
408,97,READ
409,99,WRITE
410,99,WRITE
411,100,WRITE
412,151,WRITE
413,123,WRITE
414,125,WRITE
415,123,WRITE
416,123,WRITE
417,121,READ
418,120,WRITE
419,122,READ
420,57,READ
421,59,WRITE
422,58,WRITE
423,139,WRITE
424,166,WRITE
425,165,READ
426,164,READ
427,172,WRITE
428,173,WRITE
429,173,READ
430,173,READ
431,172,WRITE
432,219,READ
433,217,READ
434,217,WRITE
435,217,WRITE
436,215,READ
437,215,WRITE
438,240,READ
439,240,READ
440,241,READ
441,241,WRITE
442,240,READ
443,240,READ
444,238,READ
445,237,WRITE
446,239,READ
447,238,READ
448,236,WRITE
449,236,READ
450,237,READ
451,238,READ
452,238,WRITE
453,239,WRITE
454,240,READ
455,239,WRITE
456,237,READ
457,237,READ
458,236,WRITE
459,237,READ
460,238,READ
461,237,WRITE
462,239,READ
463,9,READ
464,8,READ
465,10,WRITE
466,12,READ
467,13,READ
468,14,READ
469,15,WRITE
470,14,READ
471,16,READ
472,15,WRITE
473,14,READ
474,13,READ
475,15,WRITE
476,13,READ
477,13,WRITE
478,12,WRITE
479,14,WRITE
480,14,READ
481,15,READ
482,14,WRITE
483,16,WRITE
484,16,WRITE
485,170,WRITE
486,192,WRITE
487,194,READ
488,192,WRITE
489,194,READ
490,255,WRITE
491,255,WRITE
492,253,READ
493,247,WRITE
494,246,WRITE
495,245,WRITE
496,243,READ
497,241,READ
498,242,READ
499,243,WRITE
500,250,READ
501,46,WRITE
502,188,WRITE
503,12,WRITE
504,79,READ
505,80,READ
506,80,WRITE
507,82,WRITE
508,80,READ
509,81,WRITE
510,81,WRITE
511,82,READ
512,83,WRITE
513,83,READ
514,224,READ
515,223,WRITE
516,222,WRITE
517,94,READ
518,92,WRITE
519,92,WRITE
520,90,WRITE
521,89,WRITE
522,87,WRITE
523,229,WRITE
524,228,WRITE
525,227,READ
526,228,READ
527,229,READ
528,229,READ
529,229,WRITE
530,230,READ
531,232,READ
532,233,READ
533,235,WRITE
534,236,READ
535,237,WRITE
536,237,READ
537,237,READ
538,237,READ
539,237,READ
540,237,READ
541,238,READ
542,236,READ
543,235,WRITE
544,237,READ
545,166,READ
546,221,WRITE
547,222,WRITE
548,224,READ
549,222,READ
550,222,WRITE
551,55,READ
552,102,READ
553,100,READ
554,98,READ
555,97,WRITE
556,95,WRITE
557,93,READ
558,94,WRITE
559,92,READ
560,90,WRITE
561,92,READ
562,94,READ
563,38,READ
564,40,READ
565,23,READ
566,22,READ
567,1,READ
568,0,WRITE
569,0,WRITE
570,2,READ
571,2,WRITE
572,4,READ
573,164,READ
574,163,WRITE
575,165,READ
576,165,READ
577,164,WRITE
578,162,WRITE
579,161,READ
580,163,WRITE
581,162,READ
582,161,WRITE
583,54,READ
584,56,READ
585,55,WRITE
586,55,READ
587,55,WRITE
588,57,READ
589,57,WRITE
590,56,WRITE
591,54,READ
592,52,READ
593,53,READ
594,53,WRITE
595,54,WRITE
596,55,WRITE
597,57,READ
598,57,WRITE
599,55,READ
600,53,WRITE
601,55,WRITE
602,78,READ
603,78,READ
604,80,WRITE
605,37,WRITE
606,38,WRITE
607,38,WRITE
608,56,READ
609,54,WRITE
610,52,WRITE
611,95,READ
612,93,WRITE
613,92,WRITE
614,93,READ
615,92,WRITE
616,93,WRITE
617,93,READ
618,202,WRITE
619,246,WRITE
620,244,READ
621,244,READ
622,244,WRITE
623,245,WRITE
624,245,WRITE
625,109,READ
626,108,WRITE
627,109,READ
628,205,READ
629,156,WRITE
630,154,WRITE
631,153,READ
632,152,WRITE
633,153,WRITE
634,155,WRITE
635,110,WRITE
636,111,READ
637,110,READ
638,110,WRITE
639,111,WRITE
640,112,WRITE
641,52,READ
642,54,WRITE
643,53,WRITE
644,192,READ
645,190,READ
646,188,READ
647,188,READ
648,188,WRITE
649,190,WRITE
650,188,READ
651,186,READ
652,187,WRITE
653,188,WRITE
654,187,READ
655,187,READ
656,188,WRITE
657,189,WRITE
658,251,READ
659,250,WRITE
660,97,WRITE
661,99,READ
662,97,READ
663,97,WRITE
664,99,WRITE
665,97,WRITE
666,213,WRITE
667,212,WRITE
668,210,READ
669,209,READ
670,209,READ
671,209,READ
672,211,WRITE
673,211,WRITE
674,212,WRITE
675,212,WRITE
676,210,READ
677,210,WRITE
678,209,READ
679,211,WRITE
680,209,WRITE
681,210,WRITE
682,239,READ
683,239,READ
684,239,READ
685,240,READ
686,240,WRITE
687,242,READ
688,241,WRITE
689,239,WRITE
690,241,WRITE
691,241,READ
692,243,WRITE
693,71,READ
694,71,READ
695,69,READ
696,68,READ
697,66,WRITE
698,67,WRITE
699,65,WRITE
700,67,WRITE
701,65,WRITE
702,163,READ
703,161,WRITE
704,159,READ
705,159,READ
706,160,WRITE
707,160,WRITE
708,160,WRITE
709,16,READ
710,17,WRITE
711,73,WRITE
712,75,WRITE
713,73,READ
714,75,WRITE
715,75,READ
716,76,WRITE
717,190,WRITE
718,188,WRITE
719,190,READ
720,34,READ
721,35,READ
722,34,WRITE
723,35,READ
724,33,WRITE
725,31,READ
726,32,READ
727,31,WRITE
728,33,WRITE
729,33,WRITE
730,31,READ
731,33,READ
732,33,READ
733,32,WRITE
734,33,WRITE
735,207,READ
736,208,READ
737,208,READ
738,207,WRITE
739,209,READ
740,207,WRITE
741,205,READ
742,14,READ
743,12,READ
744,12,READ
745,13,READ
746,14,WRITE
747,16,WRITE
748,16,WRITE
749,2,READ
750,94,WRITE
751,147,WRITE
752,156,READ
753,74,WRITE
754,74,READ
755,73,READ
756,73,READ
757,72,WRITE
758,70,READ
759,71,WRITE
760,93,READ
761,93,READ
762,92,READ
763,91,READ
764,191,WRITE
765,133,WRITE
766,132,READ
767,131,READ
768,130,WRITE
769,129,READ
770,128,READ
771,130,READ
772,128,WRITE
773,128,READ
774,126,WRITE
775,126,READ
776,127,READ
777,126,READ
778,128,READ
779,84,WRITE
780,82,WRITE
781,82,READ
782,82,READ
783,82,READ
784,84,READ
785,128,READ
786,129,READ
787,127,READ
788,126,READ
789,221,READ
790,221,READ
791,169,WRITE
792,170,WRITE
793,171,WRITE
794,171,WRITE
795,173,READ
796,171,WRITE
797,170,READ
798,171,READ
799,169,WRITE
800,171,WRITE
801,171,WRITE
802,71,WRITE
803,179,WRITE
804,236,READ
805,234,WRITE
806,232,READ
807,10,WRITE
808,9,READ
809,11,WRITE
810,13,WRITE
811,150,READ
812,152,READ
813,153,WRITE
814,155,READ
815,155,WRITE
816,88,READ
817,109,READ
818,111,READ
819,110,WRITE
820,56,READ
821,56,READ
822,58,READ
823,56,READ
824,58,READ
825,57,READ
826,98,READ
827,100,READ
828,113,READ
829,111,WRITE
830,111,READ
831,112,WRITE
832,113,WRITE
833,184,READ
834,246,READ
835,248,WRITE
836,248,WRITE
837,248,WRITE
838,246,READ
839,248,READ
840,249,READ
841,248,WRITE
842,247,READ
843,104,WRITE
844,106,READ
845,106,READ
846,106,READ
847,107,WRITE
848,64,READ
849,62,READ
850,62,READ
851,60,WRITE
852,61,WRITE
853,122,READ
854,124,WRITE
855,122,READ
856,121,WRITE
857,205,WRITE
858,48,READ
859,50,WRITE
860,49,WRITE
861,48,WRITE
862,46,READ
863,46,WRITE
864,47,READ
865,243,READ
866,241,WRITE
867,242,WRITE
868,244,READ
869,243,READ
870,207,WRITE
871,140,READ
872,169,READ
873,169,WRITE
874,168,READ
875,169,READ
876,168,WRITE
877,166,READ
878,164,WRITE
879,163,READ
880,163,READ
881,161,WRITE
882,162,WRITE
883,160,WRITE
884,161,READ
885,48,WRITE
886,47,WRITE
887,45,READ
888,47,READ
889,46,WRITE
890,47,READ
891,48,READ
892,48,WRITE
893,122,READ
894,121,READ
895,123,WRITE
896,125,READ
897,125,READ
898,209,READ
899,219,WRITE
900,218,READ
901,220,WRITE
902,220,WRITE
903,221,READ
904,135,WRITE
905,137,READ
906,139,WRITE
907,137,READ
908,92,READ
909,212,WRITE
910,57,READ
911,137,READ
912,137,READ
913,137,WRITE
914,139,WRITE
915,141,WRITE
916,143,READ
917,145,READ
918,146,READ
919,146,READ
920,144,READ
921,145,READ
922,144,WRITE
923,146,WRITE
924,147,READ
925,148,WRITE
926,146,READ
927,11,READ
928,166,READ
